key,name,age,pos,b4,b5,inversion
luke-davies-uniacke,"Luke Davies-Uniacke",27,MID,119.616617,125.040401,0
max-gawn,"Max Gawn",35,RUCK,127.857508,127.857508,0
finn-o-sullivan,"Finn O'Sullivan",20,MID,115.976641,115.976641,0
jack-sinclair,"Jack Sinclair",31,SD,119.034171,121.869740,0
tom-green,"Tom Green",25,MID,122.369896,126.099116,0
isaac-heeney,"Isaac Heeney",30,MID,122.048466,128.237914,0
cooper-duff-tytler,"Cooper Duff-Tytler",19,KPF,93.753447,95.232560,0
colby-mckercher,"Colby McKercher",21,MID,115.017640,119.397372,0
izak-rankine,"Izak Rankine",26,SF,108.831427,112.505310,0
jordan-dawson,"Jordan Dawson",29,MID,116.166359,117.202720,0
ed-richards,"Ed Richards",27,MID,116.582472,119.992723,0
nick-blakey,"Nick Blakey",26,SD,112.493189,117.128081,0
reuben-ginbey,"Reuben Ginbey",22,KPD,92.008029,94.897448,0
connor-macdonald,"Connor MacDonald",23,SF,95.412015,102.872922,0
kieren-briggs,"Kieren Briggs",27,RUCK,103.391690,107.233251,0
zeke-uwland,"Zeke Uwland",19,SD,104.193063,107.030797,0
harvey-thomas,"Harvey Thomas",21,MID,103.743550,115.171149,0
connor-o-sullivan,"Connor O'Sullivan",21,KPD,94.776179,100.140244,0
timothy-english,"Timothy English",29,RUCK,113.000668,113.005251,0
aaron-cadman,"Aaron Cadman",22,KPF,87.427178,89.714780,0
connor-rozee,"Connor Rozee",26,MID,111.923508,116.485207,0
jack-ross,"Jack Ross",26,MID,105.760878,111.801819,0
josh-worrell,"Josh Worrell",25,SD,111.556447,115.038964,0
mitchito-owens,"Mitchito Owens",23,KPF,87.409477,92.726351,0
andrew-brayshaw,"Andrew Brayshaw",27,MID,112.285699,112.633596,0
jed-walter,"Jed Walter",21,KPF,87.013162,90.524257,0
nicholas-martin,"Nicholas Martin",25,MID,116.227636,122.043822,0
zachary-merrett,"Zachary Merrett",31,MID,107.318539,114.178304,0
sam-flanders,"Sam Flanders",25,MID,108.120597,115.037454,0
tim-taranto,"Tim Taranto",28,MID,105.075380,110.753960,0
shannon-neale,"Shannon Neale",24,KPF,89.551099,94.043390,0
dylan-patterson,"Dylan Patterson",19,SD,101.819260,108.744901,0
zac-bailey,"Zac Bailey",27,SF,102.104041,102.789543,0
jye-amiss,"Jye Amiss",23,KPF,82.327086,87.276066,0
jase-burgoyne,"Jase Burgoyne",23,SD,107.118677,108.409722,0
jordan-clark,"Jordan Clark",26,SD,107.763570,110.976323,0
jordon-sweet,"Jordon Sweet",28,RUCK,102.114031,110.804278,0
connor-idun,"Connor Idun",26,SD,102.096133,102.096133,0
sid-draper,"Sid Draper",20,MID,95.951096,106.068908,0
rowan-marshall,"Rowan Marshall",31,RUCK,96.892621,105.861501,0
christian-petracca,"Christian Petracca",30,MID,101.179609,107.878040,0
clayton-oliver,"Clayton Oliver",29,MID,110.786385,116.288878,0
touk-miller,"Touk Miller",30,SF,105.561195,106.974105,0
jacob-farrow,"Jacob Farrow",19,SD,107.575541,112.807569,0
lachie-neale,"Lachie Neale",33,MID,106.414480,112.878186,0
george-wardlaw,"George Wardlaw",22,MID,111.206846,119.053052,0
bailey-dale,"Bailey Dale",30,SD,107.237815,112.539630,0
lachie-whitfield,"Lachie Whitfield",32,SD,113.742003,119.180836,0
lloyd-meek,"Lloyd Meek",28,RUCK,99.227768,106.059491,0
jaspa-fletcher,"Jaspa Fletcher",22,SD,101.854090,108.328315,0
max-king-stk,"Max King",26,KPF,73.655254,77.732979,0
shai-bolton,"Shai Bolton",28,SF,96.159362,100.210178,0
josh-battle,"Josh Battle",28,KPD,89.655972,92.666740,0
logan-mcdonald,"Logan McDonald",24,KPF,81.661774,85.534712,0
toby-nankervis,"Toby Nankervis",32,RUCK,107.658830,108.635806,0
george-hewett,"George Hewett",31,MID,110.217997,112.372183,0
will-day,"Will Day",25,MID,108.310904,116.344394,0
justin-mcinerney,"Justin McInerney",26,MID,102.839315,109.568225,0
wayne-milera,"Wayne Milera",29,SD,100.366987,105.944118,0
alix-tauru,"Alix Tauru",20,KPD,84.533122,91.957911,0
jacob-van-rooyen,"Jacob Van Rooyen",23,KPF,85.875310,92.011629,0
callum-mills,"Callum Mills",29,SD,105.711827,108.804318,0
john-noble,"John Noble",29,SD,108.607119,108.803691,0
daniel-annable,"Daniel Annable",19,MID,101.734608,116.349342,0
jack-ginnivan,"Jack Ginnivan",24,SF,95.324757,100.461650,0
xavier-taylor,"Xavier Taylor",19,SD,94.047965,105.800111,0
ollie-dempsey,"Ollie Dempsey",23,MID,107.022482,115.533284,0
harris-andrews,"Harris Andrews",30,KPD,86.440408,88.986284,0
tom-mccartin,"Tom McCartin",27,KPD,88.536984,91.701757,0
josh-daicos,"Josh Daicos",28,SD,102.030158,107.551882,0
joel-freijah,"Joel Freijah",21,MID,106.300935,116.602328,0
daniel-curtin,"Daniel Curtin",21,MID,106.563019,113.095624,0
harvey-langford,"Harvey Langford",20,MID,111.707808,116.215679,0
